competition_id,season_id,country_name,competition_name,competition_gender,competition_youth,competition_international,season_name,match_updated,match_updated_360,match_available_360,match_available
16,4,Europe,Champions League,male,False,False,2018/2019,2023-03-07T12:20:48.118250,2021-06-13T16:17:31.694,,2023-03-07T12:20:48.118250
16,1,Europe,Champions League,male,False,False,2017/2018,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2021-01-23T21:55:30.425330
16,2,Europe,Champions League,male,False,False,2016/2017,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,27,Europe,Champions League,male,False,False,2015/2016,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,26,Europe,Champions League,male,False,False,2014/2015,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,25,Europe,Champions League,male,False,False,2013/2014,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,24,Europe,Champions League,male,False,False,2012/2013,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2021-07-10T13:41:45.751
16,23,Europe,Champions League,male,False,False,2011/2012,2021-08-27T11:26:39.802832,2021-06-13T16:17:31.694,,2020-07-29T05:00
16,22,Europe,Champions League,male,False,False,2010/2011,2022-01-26T21:07:11.033473,2021-06-13T16:17:31.694,,2022-01-26T21:07:11.033473
16,21,Europe,Champions League,male,False,False,2009/2010,2022-11-15T17:26:10.871011,2021-06-13T16:17:31.694,,2022-11-15T17:26:10.871011
16,41,Europe,Champions League,male,False,False,2008/2009,2021-11-07T14:20:01.699993,2021-06-13T16:17:31.694,,2021-11-07T14:20:01.699993
16,39,Europe,Champions League,male,False,False,2006/2007,2021-03-31T04:18:30.437060,2021-06-13T16:17:31.694,,2021-03-31T04:18:30.437060
16,37,Europe,Champions League,male,False,False,2004/2005,2021-04-01T06:18:57.459032,2021-06-13T16:17:31.694,,2021-04-01T06:18:57.459032
16,44,Europe,Champions League,male,False,False,2003/2004,2022-11-24T21:06:10.454916,2021-06-13T16:17:31.694,,2022-11-24T21:06:10.454916
16,76,Europe,Champions League,male,False,False,1999/2000,2020-07-29T05:00,2021-06-13T16:17:31.694,,2020-07-29T05:00
37,90,England,FA Women's Super League,female,False,False,2020/2021,2023-02-25T14:52:09.326729,2021-06-13T16:17:31.694,,2023-02-25T14:52:09.326729
37,42,England,FA Women's Super League,female,False,False,2019/2020,2023-02-25T12:45:18.376026,2021-06-13T16:17:31.694,,2023-02-25T12:45:18.376026
37,4,England,FA Women's Super League,female,False,False,2018/2019,2022-12-01T11:41:40.025541,2021-06-13T16:17:31.694,,2022-12-01T11:41:40.025541
43,106,International,FIFA World Cup,male,False,True,2022,2023-05-13T12:22:12.754153,2023-05-18T09:51:31.628254,2023-05-18T09:51:31.628254,2023-05-13T12:22:12.754153
43,3,International,FIFA World Cup,male,False,True,2018,2022-09-05T17:17:56.670896,2021-06-13T16:17:31.694,,2022-09-05T17:17:56.670896
1238,108,India,Indian Super league,male,False,False,2021/2022,2023-03-31T02:14:09.896947,,,2023-03-31T02:14:09.896947
11,90,Spain,La Liga,male,False,False,2020/2021,2022-12-05T14:39:07.366723,2023-04-28T08:23:01.474542,2023-04-28T08:23:01.474542,2022-12-05T14:39:07.366723
11,42,Spain,La Liga,male,False,False,2019/2020,2023-04-19T10:52:22.240135,2021-06-13T16:17:31.694,,2023-04-19T10:52:22.240135
11,4,Spain,La Liga,male,False,False,2018/2019,2023-05-11T08:22:01.941875,2021-07-09T14:53:22.103024,,2023-05-11T08:22:01.941875
11,1,Spain,La Liga,male,False,False,2017/2018,2023-04-25T00:10:26.116531,2021-06-13T16:17:31.694,,2023-04-25T00:10:26.116531
11,2,Spain,La Liga,male,False,False,2016/2017,2023-05-11T08:13:40.117646,2021-06-13T16:17:31.694,,2023-05-11T08:13:40.117646
11,27,Spain,La Liga,male,False,False,2015/2016,2023-02-21T15:55:07.071365,2021-06-13T16:17:31.694,,2023-02-21T15:55:07.071365
11,26,Spain,La Liga,male,False,False,2014/2015,2022-08-14T18:49:03.341489,2021-06-13T16:17:31.694,,2022-08-14T18:49:03.341489
11,25,Spain,La Liga,male,False,False,2013/2014,2022-07-23T12:18:49.547396,2021-06-13T16:17:31.694,,2022-07-23T12:18:49.547396
11,24,Spain,La Liga,male,False,False,2012/2013,2022-09-25T20:52:24.444609,2021-06-13T16:17:31.694,,2022-09-25T20:52:24.444609
11,23,Spain,La Liga,male,False,False,2011/2012,2022-12-01T14:10:17.791769,2021-06-13T16:17:31.694,,2022-12-01T14:10:17.791769
11,22,Spain,La Liga,male,False,False,2010/2011,2023-04-19T10:48:44.079830,2021-06-13T16:17:31.694,,2023-04-19T10:48:44.079830
11,21,Spain,La Liga,male,False,False,2009/2010,2023-04-19T10:48:01.770383,2021-06-13T16:17:31.694,,2023-04-19T10:48:01.770383
11,41,Spain,La Liga,male,False,False,2008/2009,2023-04-19T10:46:29.203565,2021-06-13T16:17:31.694,,2023-04-19T10:46:29.203565
11,40,Spain,La Liga,male,False,False,2007/2008,2023-04-19T10:42:35.284291,2021-06-13T16:17:31.694,,2023-04-19T10:42:35.284291
11,39,Spain,La Liga,male,False,False,2006/2007,2023-03-26T23:19:39.125951,2021-06-13T16:17:31.694,,2023-03-26T23:19:39.125951
11,38,Spain,La Liga,male,False,False,2005/2006,2022-07-03T12:34:31.749038,2021-06-13T16:17:31.694,,2022-07-03T12:34:31.749038
11,37,Spain,La Liga,male,False,False,2004/2005,2020-07-29T05:00,2021-06-13T16:17:31.694,,2020-07-29T05:00
49,3,United States of America,NWSL,female,False,False,2018,2023-04-19T10:28:36.824565,2021-06-13T16:17:31.694,,2023-04-19T10:28:36.824565
2,44,England,Premier League,male,False,False,2003/2004,2023-03-11T10:52:12.579230,2021-06-13T16:17:31.694,,2023-03-11T10:52:12.579230
55,43,Europe,UEFA Euro,male,False,True,2020,2023-02-24T21:26:47.128979,2023-04-27T22:38:34.970148,2023-04-27T22:38:34.970148,2023-02-24T21:26:47.128979
53,106,Europe,UEFA Women's Euro,female,False,True,2022,2023-02-22T23:06:39.942980,2023-04-26T02:03:52.207197,2023-04-26T02:03:52.207197,2023-02-22T23:06:39.942980
72,30,International,Women's World Cup,female,False,True,2019,2023-04-07T09:00:52.515359,2021-06-13T16:17:31.694,,2023-04-07T09:00:52.515359
